Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
80,	10,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	20,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	30,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	40,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	50,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	60,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	70,	0,	0.010000,	FAILED,	0.000000,	0.000000
80,	80,	0,	0.010000,	PASSED,	0.000000,	0.382000
80,	90,	0,	0.010000,	PASSED,	0.000000,	0.493000
80,	100,	0,	0.010000,	PASSED,	0.000000,	0.517000
80,	200,	0,	0.010000,	PASSED,	0.000000,	1.307000
80,	300,	0,	0.010000,	PASSED,	0.000000,	3.438000
80,	400,	0,	0.010000,	PASSED,	0.000000,	5.532000
80,	500,	0,	0.010000,	PASSED,	0.000000,	10.220000
80,	600,	0,	0.010000,	PASSED,	0.000000,	13.014000
80,	700,	0,	0.010000,	PASSED,	0.000000,	18.864000
80,	800,	0,	0.010000,	PASSED,	0.000000,	28.865000
