Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
1,	1000,	0,	0.900000,	PASSED,	0.000000,	2.130000
1,	1000,	0,	0.800000,	PASSED,	0.000000,	2.355000
1,	1000,	0,	0.700000,	PASSED,	0.000000,	2.970000
1,	1000,	0,	0.600000,	PASSED,	0.000000,	3.830000
1,	1000,	0,	0.500000,	PASSED,	0.000000,	5.810000
1,	1000,	0,	0.400000,	PASSED,	0.000000,	8.175000
1,	1000,	0,	0.300000,	PASSED,	0.000000,	14.440000
1,	1000,	0,	0.200000,	PASSED,	0.000000,	26.150000
1,	1000,	0,	0.100000,	PASSED,	0.000000,	79.820000
1,	1000,	0,	0.090000,	PASSED,	0.000000,	93.765000
1,	1000,	0,	0.080000,	PASSED,	0.000000,	125.465000
1,	1000,	0,	0.070000,	PASSED,	0.000000,	125.590000
