Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
100,	1000,	1,	0.900000,	PASSED,	0.000000,	0.121000
100,	1000,	1,	0.800000,	PASSED,	0.000000,	0.114000
100,	1000,	1,	0.700000,	PASSED,	0.000000,	0.115000
100,	1000,	1,	0.600000,	PASSED,	0.000000,	0.116000
100,	1000,	1,	0.500000,	PASSED,	0.000000,	0.117000
100,	1000,	1,	0.400000,	PASSED,	0.000000,	0.117000
100,	1000,	1,	0.300000,	PASSED,	0.000000,	0.118000
100,	1000,	1,	0.200000,	PASSED,	0.000000,	0.125000
100,	1000,	1,	0.100000,	PASSED,	0.000000,	0.125000
100,	1000,	1,	0.090000,	PASSED,	0.000000,	0.125000
100,	1000,	1,	0.080000,	PASSED,	0.000000,	0.128000
100,	1000,	1,	0.070000,	PASSED,	0.000000,	0.131000
100,	1000,	1,	0.060000,	PASSED,	0.000000,	0.130000
100,	1000,	1,	0.050000,	PASSED,	0.000000,	0.133000
100,	1000,	1,	0.040000,	PASSED,	0.000000,	0.137000
100,	1000,	1,	0.030000,	PASSED,	0.000000,	0.143000
100,	1000,	1,	0.020000,	PASSED,	0.000000,	0.144000
100,	1000,	1,	0.010000,	PASSED,	0.000000,	0.157000
100,	1000,	1,	0.009000,	PASSED,	0.000000,	0.162000
100,	1000,	1,	0.008000,	PASSED,	0.000000,	0.164000
100,	1000,	1,	0.007000,	PASSED,	0.000000,	0.169000
100,	1000,	1,	0.006000,	PASSED,	0.000000,	0.176000
100,	1000,	1,	0.005000,	PASSED,	0.000000,	0.185000
100,	1000,	1,	0.004000,	PASSED,	0.000000,	0.197000
100,	1000,	1,	0.003000,	PASSED,	0.000000,	0.211000
100,	1000,	1,	0.002000,	PASSED,	0.000000,	0.244000
100,	1000,	1,	0.001000,	PASSED,	0.000000,	0.333000
100,	1000,	1,	0.000900,	PASSED,	0.000000,	0.357000
100,	1000,	1,	0.000800,	PASSED,	0.000000,	0.385000
100,	1000,	1,	0.000700,	PASSED,	0.000000,	0.417000
100,	1000,	1,	0.000600,	PASSED,	0.000000,	0.462000
100,	1000,	1,	0.000500,	PASSED,	0.000000,	0.527000
100,	1000,	1,	0.000400,	PASSED,	0.000000,	0.631000
100,	1000,	1,	0.000300,	PASSED,	0.000000,	0.799000
100,	1000,	1,	0.000200,	PASSED,	0.000000,	1.107000
100,	1000,	1,	0.000100,	PASSED,	0.000000,	2.011000
100,	1000,	1,	0.000090,	PASSED,	0.000000,	2.209000
100,	1000,	1,	0.000080,	PASSED,	0.000000,	2.457000
100,	1000,	1,	0.000070,	PASSED,	0.000000,	2.783000
100,	1000,	1,	0.000060,	PASSED,	0.000000,	3.208000
100,	1000,	1,	0.000050,	PASSED,	0.000000,	3.807000
100,	1000,	1,	0.000040,	PASSED,	0.000000,	4.704000
100,	1000,	1,	0.000030,	PASSED,	0.000000,	6.206000
100,	1000,	1,	0.000020,	PASSED,	0.000000,	9.198000
100,	1000,	1,	0.000010,	PASSED,	0.000000,	18.160000
