Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
60,	1000,	1,	0.900000,	PASSED,	0.000000,	0.391000
60,	1000,	1,	0.800000,	PASSED,	0.000000,	0.368000
60,	1000,	1,	0.700000,	PASSED,	0.000000,	0.365000
60,	1000,	1,	0.600000,	PASSED,	0.000000,	0.368000
60,	1000,	1,	0.500000,	PASSED,	0.000000,	0.373000
60,	1000,	1,	0.400000,	PASSED,	0.000000,	0.372000
60,	1000,	1,	0.300000,	PASSED,	0.000000,	0.376000
60,	1000,	1,	0.200000,	PASSED,	0.000000,	0.382000
60,	1000,	1,	0.100000,	PASSED,	0.000000,	0.381000
60,	1000,	1,	0.090000,	PASSED,	0.000000,	0.386000
60,	1000,	1,	0.080000,	PASSED,	0.000000,	0.387000
60,	1000,	1,	0.070000,	PASSED,	0.000000,	0.394000
60,	1000,	1,	0.060000,	PASSED,	0.000000,	0.392000
60,	1000,	1,	0.050000,	PASSED,	0.000000,	0.395000
60,	1000,	1,	0.040000,	PASSED,	0.000000,	0.401000
60,	1000,	1,	0.030000,	PASSED,	0.000000,	0.405000
60,	1000,	1,	0.020000,	PASSED,	0.000000,	0.410000
60,	1000,	1,	0.010000,	PASSED,	0.000000,	0.422000
60,	1000,	1,	0.009000,	PASSED,	0.000000,	0.424000
60,	1000,	1,	0.008000,	PASSED,	0.000000,	0.431000
60,	1000,	1,	0.007000,	PASSED,	0.000000,	0.436000
60,	1000,	1,	0.006000,	PASSED,	0.000000,	0.438000
60,	1000,	1,	0.005000,	PASSED,	0.000000,	0.445000
60,	1000,	1,	0.004000,	PASSED,	0.000000,	0.458000
60,	1000,	1,	0.003000,	PASSED,	0.000000,	0.472000
60,	1000,	1,	0.002000,	PASSED,	0.000000,	0.502000
60,	1000,	1,	0.001000,	PASSED,	0.000000,	0.580000
60,	1000,	1,	0.000900,	PASSED,	0.000000,	0.597000
60,	1000,	1,	0.000800,	PASSED,	0.000000,	0.620000
60,	1000,	1,	0.000700,	PASSED,	0.000000,	0.652000
60,	1000,	1,	0.000600,	PASSED,	0.000000,	0.697000
60,	1000,	1,	0.000500,	PASSED,	0.000000,	0.766000
60,	1000,	1,	0.000400,	PASSED,	0.000000,	0.867000
60,	1000,	1,	0.000300,	PASSED,	0.000000,	1.026000
60,	1000,	1,	0.000200,	PASSED,	0.000000,	1.300000
60,	1000,	1,	0.000100,	PASSED,	0.000000,	2.070000
60,	1000,	1,	0.000090,	PASSED,	0.000000,	2.241000
60,	1000,	1,	0.000080,	PASSED,	0.000000,	2.457000
60,	1000,	1,	0.000070,	PASSED,	0.000000,	2.740000
60,	1000,	1,	0.000060,	PASSED,	0.000000,	3.106000
60,	1000,	1,	0.000050,	PASSED,	0.000000,	3.626000
60,	1000,	1,	0.000040,	PASSED,	0.000000,	4.392000
60,	1000,	1,	0.000030,	PASSED,	0.000000,	5.688000
60,	1000,	1,	0.000020,	PASSED,	0.000000,	8.241000
60,	1000,	1,	0.000010,	PASSED,	0.000000,	15.930000
