Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
160,	1000,	1,	0.900000,	PASSED,	0.000000,	0.137000
160,	1000,	1,	0.800000,	PASSED,	0.000000,	0.137000
160,	1000,	1,	0.700000,	PASSED,	0.000000,	0.130000
160,	1000,	1,	0.600000,	PASSED,	0.000000,	0.137000
160,	1000,	1,	0.500000,	PASSED,	0.000000,	0.133000
160,	1000,	1,	0.400000,	PASSED,	0.000000,	0.130000
160,	1000,	1,	0.300000,	PASSED,	0.000000,	0.131000
160,	1000,	1,	0.200000,	PASSED,	0.000000,	0.134000
160,	1000,	1,	0.100000,	PASSED,	0.000000,	0.137000
160,	1000,	1,	0.090000,	PASSED,	0.000000,	0.135000
160,	1000,	1,	0.080000,	PASSED,	0.000000,	0.140000
160,	1000,	1,	0.070000,	PASSED,	0.000000,	0.138000
160,	1000,	1,	0.060000,	PASSED,	0.000000,	0.143000
160,	1000,	1,	0.050000,	PASSED,	0.000000,	0.152000
160,	1000,	1,	0.040000,	PASSED,	0.000000,	0.160000
160,	1000,	1,	0.030000,	PASSED,	0.000000,	0.156000
160,	1000,	1,	0.020000,	PASSED,	0.000000,	0.162000
160,	1000,	1,	0.010000,	PASSED,	0.000000,	0.176000
160,	1000,	1,	0.009000,	PASSED,	0.000000,	0.183000
160,	1000,	1,	0.008000,	PASSED,	0.000000,	0.190000
160,	1000,	1,	0.007000,	PASSED,	0.000000,	0.196000
160,	1000,	1,	0.006000,	PASSED,	0.000000,	0.202000
160,	1000,	1,	0.005000,	PASSED,	0.000000,	0.217000
160,	1000,	1,	0.004000,	PASSED,	0.000000,	0.225000
160,	1000,	1,	0.003000,	PASSED,	0.000000,	0.243000
160,	1000,	1,	0.002000,	PASSED,	0.000000,	0.287000
160,	1000,	1,	0.001000,	PASSED,	0.000000,	0.399000
160,	1000,	1,	0.000900,	PASSED,	0.000000,	0.432000
160,	1000,	1,	0.000800,	PASSED,	0.000000,	0.469000
160,	1000,	1,	0.000700,	PASSED,	0.000000,	0.508000
160,	1000,	1,	0.000600,	PASSED,	0.000000,	0.562000
160,	1000,	1,	0.000500,	PASSED,	0.000000,	0.641000
160,	1000,	1,	0.000400,	PASSED,	0.000000,	0.759000
160,	1000,	1,	0.000300,	PASSED,	0.000000,	0.943000
160,	1000,	1,	0.000200,	PASSED,	0.000000,	1.329000
160,	1000,	1,	0.000100,	PASSED,	0.000000,	2.469000
160,	1000,	1,	0.000090,	PASSED,	0.000000,	2.723000
160,	1000,	1,	0.000080,	PASSED,	0.000000,	3.048000
160,	1000,	1,	0.000070,	PASSED,	0.000000,	3.448000
160,	1000,	1,	0.000060,	PASSED,	0.000000,	4.005000
160,	1000,	1,	0.000050,	PASSED,	0.000000,	4.767000
160,	1000,	1,	0.000040,	PASSED,	0.000000,	5.907000
160,	1000,	1,	0.000030,	PASSED,	0.000000,	7.800000
160,	1000,	1,	0.000020,	PASSED,	0.000000,	11.602000
160,	1000,	1,	0.000010,	PASSED,	0.000000,	22.965000
