Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
40,	1000,	1,	0.900000,	PASSED,	0.000000,	0.313000
40,	1000,	1,	0.800000,	PASSED,	0.000000,	0.314000
40,	1000,	1,	0.700000,	PASSED,	0.000000,	0.317000
40,	1000,	1,	0.600000,	PASSED,	0.000000,	0.327000
40,	1000,	1,	0.500000,	PASSED,	0.000000,	0.331000
40,	1000,	1,	0.400000,	PASSED,	0.000000,	0.338000
40,	1000,	1,	0.300000,	PASSED,	0.000000,	0.345000
40,	1000,	1,	0.200000,	PASSED,	0.000000,	0.352000
40,	1000,	1,	0.100000,	PASSED,	0.000000,	0.362000
40,	1000,	1,	0.090000,	PASSED,	0.000000,	0.370000
40,	1000,	1,	0.080000,	PASSED,	0.000000,	0.376000
40,	1000,	1,	0.070000,	PASSED,	0.000000,	0.387000
40,	1000,	1,	0.060000,	PASSED,	0.000000,	0.394000
40,	1000,	1,	0.050000,	PASSED,	0.000000,	0.407000
40,	1000,	1,	0.040000,	PASSED,	0.000000,	0.412000
40,	1000,	1,	0.030000,	PASSED,	0.000000,	0.424000
40,	1000,	1,	0.020000,	PASSED,	0.000000,	0.434000
40,	1000,	1,	0.010000,	PASSED,	0.000000,	0.454000
40,	1000,	1,	0.009000,	PASSED,	0.000000,	0.464000
40,	1000,	1,	0.008000,	PASSED,	0.000000,	0.480000
40,	1000,	1,	0.007000,	PASSED,	0.000000,	0.494000
40,	1000,	1,	0.006000,	PASSED,	0.000000,	0.504000
40,	1000,	1,	0.005000,	PASSED,	0.000000,	0.523000
40,	1000,	1,	0.004000,	PASSED,	0.000000,	0.542000
40,	1000,	1,	0.003000,	PASSED,	0.000000,	0.572000
40,	1000,	1,	0.002000,	PASSED,	0.000000,	0.617000
40,	1000,	1,	0.001000,	PASSED,	0.000000,	0.721000
40,	1000,	1,	0.000900,	PASSED,	0.000000,	0.758000
40,	1000,	1,	0.000800,	PASSED,	0.000000,	0.798000
40,	1000,	1,	0.000700,	PASSED,	0.000000,	0.851000
40,	1000,	1,	0.000600,	PASSED,	0.000000,	0.924000
40,	1000,	1,	0.000500,	PASSED,	0.000000,	1.028000
40,	1000,	1,	0.000400,	PASSED,	0.000000,	1.168000
40,	1000,	1,	0.000300,	PASSED,	0.000000,	1.381000
40,	1000,	1,	0.000200,	PASSED,	0.000000,	1.714000
40,	1000,	1,	0.000100,	PASSED,	0.000000,	2.609000
40,	1000,	1,	0.000090,	PASSED,	0.000000,	2.836000
40,	1000,	1,	0.000080,	PASSED,	0.000000,	3.104000
40,	1000,	1,	0.000070,	PASSED,	0.000000,	3.439000
40,	1000,	1,	0.000060,	PASSED,	0.000000,	3.879000
40,	1000,	1,	0.000050,	PASSED,	0.000000,	4.487000
40,	1000,	1,	0.000040,	PASSED,	0.000000,	5.380000
40,	1000,	1,	0.000030,	PASSED,	0.000000,	6.850000
40,	1000,	1,	0.000020,	PASSED,	0.000000,	9.758000
40,	1000,	1,	0.000010,	PASSED,	0.000000,	18.438000
