Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
140,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	60,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	70,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	80,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	90,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	100,	1,	0.010000,	FAILED,	0.000000,	0.000000
140,	200,	1,	0.010000,	PASSED,	0.000000,	0.170000
140,	300,	1,	0.010000,	PASSED,	0.000000,	0.176000
140,	400,	1,	0.010000,	PASSED,	0.000000,	0.178000
140,	500,	1,	0.010000,	PASSED,	0.000000,	0.192000
140,	600,	1,	0.010000,	PASSED,	0.000000,	0.193000
140,	700,	1,	0.010000,	PASSED,	0.000000,	0.197000
140,	800,	1,	0.010000,	PASSED,	0.000000,	0.204000
140,	900,	1,	0.010000,	PASSED,	0.000000,	0.209000
140,	1000,	1,	0.010000,	PASSED,	0.000000,	0.219000
140,	2000,	1,	0.010000,	PASSED,	0.000000,	0.319000
140,	3000,	1,	0.010000,	PASSED,	0.000000,	0.494000
140,	4000,	1,	0.010000,	PASSED,	0.000000,	0.736000
140,	5000,	1,	0.010000,	PASSED,	0.000000,	1.121000
140,	6000,	1,	0.010000,	PASSED,	0.000000,	1.620000
140,	7000,	1,	0.010000,	PASSED,	0.000000,	2.207000
140,	8000,	1,	0.010000,	PASSED,	0.000000,	2.858000
140,	9000,	1,	0.010000,	PASSED,	0.000000,	3.604000
140,	10000,	1,	0.010000,	PASSED,	0.000000,	4.413000
