Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
120,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	60,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	70,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	80,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	90,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	100,	1,	0.010000,	FAILED,	0.000000,	0.000000
120,	200,	1,	0.010000,	PASSED,	0.000000,	0.130000
120,	300,	1,	0.010000,	PASSED,	0.000000,	0.131000
120,	400,	1,	0.010000,	PASSED,	0.000000,	0.132000
120,	500,	1,	0.010000,	PASSED,	0.000000,	0.147000
120,	600,	1,	0.010000,	PASSED,	0.000000,	0.146000
120,	700,	1,	0.010000,	PASSED,	0.000000,	0.148000
120,	800,	1,	0.010000,	PASSED,	0.000000,	0.153000
120,	900,	1,	0.010000,	PASSED,	0.000000,	0.162000
120,	1000,	1,	0.010000,	PASSED,	0.000000,	0.175000
120,	2000,	1,	0.010000,	PASSED,	0.000000,	0.275000
120,	3000,	1,	0.010000,	PASSED,	0.000000,	0.446000
120,	4000,	1,	0.010000,	PASSED,	0.000000,	0.699000
120,	5000,	1,	0.010000,	PASSED,	0.000000,	1.061000
120,	6000,	1,	0.010000,	PASSED,	0.000000,	1.539000
120,	7000,	1,	0.010000,	PASSED,	0.000000,	2.114000
120,	8000,	1,	0.010000,	PASSED,	0.000000,	2.758000
120,	9000,	1,	0.010000,	PASSED,	0.000000,	3.479000
120,	10000,	1,	0.010000,	PASSED,	0.000000,	4.307000
