Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
160,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	60,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	70,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	80,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	90,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	100,	1,	0.010000,	FAILED,	0.000000,	0.000000
160,	200,	1,	0.010000,	PASSED,	0.000000,	0.180000
160,	300,	1,	0.010000,	PASSED,	0.000000,	0.178000
160,	400,	1,	0.010000,	PASSED,	0.000000,	0.183000
160,	500,	1,	0.010000,	PASSED,	0.000000,	0.189000
160,	600,	1,	0.010000,	PASSED,	0.000000,	0.189000
160,	700,	1,	0.010000,	PASSED,	0.000000,	0.195000
160,	800,	1,	0.010000,	PASSED,	0.000000,	0.203000
160,	900,	1,	0.010000,	PASSED,	0.000000,	0.210000
160,	1000,	1,	0.010000,	PASSED,	0.000000,	0.217000
160,	2000,	1,	0.010000,	PASSED,	0.000000,	0.302000
160,	3000,	1,	0.010000,	PASSED,	0.000000,	0.484000
160,	4000,	1,	0.010000,	PASSED,	0.000000,	0.791000
160,	5000,	1,	0.010000,	PASSED,	0.000000,	1.250000
160,	6000,	1,	0.010000,	PASSED,	0.000000,	1.771000
160,	7000,	1,	0.010000,	PASSED,	0.000000,	2.371000
160,	8000,	1,	0.010000,	PASSED,	0.000000,	3.041000
160,	9000,	1,	0.010000,	PASSED,	0.000000,	3.793000
160,	10000,	1,	0.010000,	PASSED,	0.000000,	4.607000
