Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
80,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	60,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	70,	1,	0.010000,	FAILED,	0.000000,	0.000000
80,	80,	1,	0.010000,	PASSED,	0.000000,	0.104000
80,	90,	1,	0.010000,	PASSED,	0.000000,	0.101000
80,	100,	1,	0.010000,	PASSED,	0.000000,	0.100000
80,	200,	1,	0.010000,	PASSED,	0.000000,	0.101000
80,	300,	1,	0.010000,	PASSED,	0.000000,	0.105000
80,	400,	1,	0.010000,	PASSED,	0.000000,	0.106000
80,	500,	1,	0.010000,	PASSED,	0.000000,	0.115000
80,	600,	1,	0.010000,	PASSED,	0.000000,	0.120000
80,	700,	1,	0.010000,	PASSED,	0.000000,	0.118000
80,	800,	1,	0.010000,	PASSED,	0.000000,	0.125000
80,	900,	1,	0.010000,	PASSED,	0.000000,	0.129000
80,	1000,	1,	0.010000,	PASSED,	0.000000,	0.138000
80,	2000,	1,	0.010000,	PASSED,	0.000000,	0.221000
80,	3000,	1,	0.010000,	PASSED,	0.000000,	0.382000
80,	4000,	1,	0.010000,	PASSED,	0.000000,	0.677000
80,	5000,	1,	0.010000,	PASSED,	0.000000,	1.055000
80,	6000,	1,	0.010000,	PASSED,	0.000000,	1.514000
80,	7000,	1,	0.010000,	PASSED,	0.000000,	2.037000
80,	8000,	1,	0.010000,	PASSED,	0.000000,	2.661000
80,	9000,	1,	0.010000,	PASSED,	0.000000,	3.361000
80,	10000,	1,	0.010000,	PASSED,	0.000000,	4.172000
