Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
20,	1000,	1,	0.900000,	PASSED,	0.000000,	0.128000
20,	1000,	1,	0.800000,	PASSED,	0.000000,	0.117000
20,	1000,	1,	0.700000,	PASSED,	0.000000,	0.123000
20,	1000,	1,	0.600000,	PASSED,	0.000000,	0.134000
20,	1000,	1,	0.500000,	PASSED,	0.000000,	0.147000
20,	1000,	1,	0.400000,	PASSED,	0.000000,	0.154000
20,	1000,	1,	0.300000,	PASSED,	0.000000,	0.168000
20,	1000,	1,	0.200000,	PASSED,	0.000000,	0.182000
20,	1000,	1,	0.100000,	PASSED,	0.000000,	0.193000
20,	1000,	1,	0.090000,	PASSED,	0.000000,	0.203000
20,	1000,	1,	0.080000,	PASSED,	0.000000,	0.217000
20,	1000,	1,	0.070000,	PASSED,	0.000000,	0.229000
20,	1000,	1,	0.060000,	PASSED,	0.000000,	0.242000
20,	1000,	1,	0.050000,	PASSED,	0.000000,	0.255000
20,	1000,	1,	0.040000,	PASSED,	0.000000,	0.268000
20,	1000,	1,	0.030000,	PASSED,	0.000000,	0.280000
20,	1000,	1,	0.020000,	PASSED,	0.000000,	0.296000
20,	1000,	1,	0.010000,	PASSED,	0.000000,	0.329000
20,	1000,	1,	0.009000,	PASSED,	0.000000,	0.347000
20,	1000,	1,	0.008000,	PASSED,	0.000000,	0.369000
20,	1000,	1,	0.007000,	PASSED,	0.000000,	0.391000
20,	1000,	1,	0.006000,	PASSED,	0.000000,	0.418000
20,	1000,	1,	0.005000,	PASSED,	0.000000,	0.441000
20,	1000,	1,	0.004000,	PASSED,	0.000000,	0.473000
20,	1000,	1,	0.003000,	PASSED,	0.000000,	0.517000
20,	1000,	1,	0.002000,	PASSED,	0.000000,	0.585000
20,	1000,	1,	0.001000,	PASSED,	0.000000,	0.753000
20,	1000,	1,	0.000900,	PASSED,	0.000000,	0.809000
20,	1000,	1,	0.000800,	PASSED,	0.000000,	0.872000
20,	1000,	1,	0.000700,	PASSED,	0.000000,	0.953000
20,	1000,	1,	0.000600,	PASSED,	0.000000,	1.056000
20,	1000,	1,	0.000500,	PASSED,	0.000000,	1.203000
20,	1000,	1,	0.000400,	PASSED,	0.000000,	1.409000
20,	1000,	1,	0.000300,	PASSED,	0.000000,	1.721000
20,	1000,	1,	0.000200,	PASSED,	0.000000,	2.243000
20,	1000,	1,	0.000100,	PASSED,	0.000000,	3.658000
20,	1000,	1,	0.000090,	PASSED,	0.000000,	3.998000
20,	1000,	1,	0.000080,	PASSED,	0.000000,	4.414000
20,	1000,	1,	0.000070,	PASSED,	0.000000,	4.940000
20,	1000,	1,	0.000060,	PASSED,	0.000000,	5.635000
20,	1000,	1,	0.000050,	PASSED,	0.000000,	6.588000
20,	1000,	1,	0.000040,	PASSED,	0.000000,	8.007000
20,	1000,	1,	0.000030,	PASSED,	0.000000,	10.351000
20,	1000,	1,	0.000020,	PASSED,	0.000000,	15.014000
20,	1000,	1,	0.000010,	PASSED,	0.000000,	28.910000
