Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
120,	1000,	1,	0.900000,	PASSED,	0.000000,	0.152000
120,	1000,	1,	0.800000,	PASSED,	0.000000,	0.147000
120,	1000,	1,	0.700000,	PASSED,	0.000000,	0.151000
120,	1000,	1,	0.600000,	PASSED,	0.000000,	0.149000
120,	1000,	1,	0.500000,	PASSED,	0.000000,	0.149000
120,	1000,	1,	0.400000,	PASSED,	0.000000,	0.152000
120,	1000,	1,	0.300000,	PASSED,	0.000000,	0.155000
120,	1000,	1,	0.200000,	PASSED,	0.000000,	0.158000
120,	1000,	1,	0.100000,	PASSED,	0.000000,	0.158000
120,	1000,	1,	0.090000,	PASSED,	0.000000,	0.157000
120,	1000,	1,	0.080000,	PASSED,	0.000000,	0.162000
120,	1000,	1,	0.070000,	PASSED,	0.000000,	0.166000
120,	1000,	1,	0.060000,	PASSED,	0.000000,	0.166000
120,	1000,	1,	0.050000,	PASSED,	0.000000,	0.170000
120,	1000,	1,	0.040000,	PASSED,	0.000000,	0.170000
120,	1000,	1,	0.030000,	PASSED,	0.000000,	0.172000
120,	1000,	1,	0.020000,	PASSED,	0.000000,	0.181000
120,	1000,	1,	0.010000,	PASSED,	0.000000,	0.196000
120,	1000,	1,	0.009000,	PASSED,	0.000000,	0.197000
120,	1000,	1,	0.008000,	PASSED,	0.000000,	0.203000
120,	1000,	1,	0.007000,	PASSED,	0.000000,	0.209000
120,	1000,	1,	0.006000,	PASSED,	0.000000,	0.213000
120,	1000,	1,	0.005000,	PASSED,	0.000000,	0.223000
120,	1000,	1,	0.004000,	PASSED,	0.000000,	0.237000
120,	1000,	1,	0.003000,	PASSED,	0.000000,	0.253000
120,	1000,	1,	0.002000,	PASSED,	0.000000,	0.283000
120,	1000,	1,	0.001000,	PASSED,	0.000000,	0.385000
120,	1000,	1,	0.000900,	PASSED,	0.000000,	0.411000
120,	1000,	1,	0.000800,	PASSED,	0.000000,	0.441000
120,	1000,	1,	0.000700,	PASSED,	0.000000,	0.468000
120,	1000,	1,	0.000600,	PASSED,	0.000000,	0.517000
120,	1000,	1,	0.000500,	PASSED,	0.000000,	0.587000
120,	1000,	1,	0.000400,	PASSED,	0.000000,	0.689000
120,	1000,	1,	0.000300,	PASSED,	0.000000,	0.852000
120,	1000,	1,	0.000200,	PASSED,	0.000000,	1.179000
120,	1000,	1,	0.000100,	PASSED,	0.000000,	2.144000
120,	1000,	1,	0.000090,	PASSED,	0.000000,	2.361000
120,	1000,	1,	0.000080,	PASSED,	0.000000,	2.630000
120,	1000,	1,	0.000070,	PASSED,	0.000000,	2.980000
120,	1000,	1,	0.000060,	PASSED,	0.000000,	3.437000
120,	1000,	1,	0.000050,	PASSED,	0.000000,	4.083000
120,	1000,	1,	0.000040,	PASSED,	0.000000,	5.048000
120,	1000,	1,	0.000030,	PASSED,	0.000000,	6.660000
120,	1000,	1,	0.000020,	PASSED,	0.000000,	9.866000
120,	1000,	1,	0.000010,	PASSED,	0.000000,	19.523000
