Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
60,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
60,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
60,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
60,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
60,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
60,	60,	1,	0.010000,	PASSED,	0.000000,	0.461000
60,	70,	1,	0.010000,	PASSED,	0.000000,	0.420000
60,	80,	1,	0.010000,	PASSED,	0.000000,	0.421000
60,	90,	1,	0.010000,	PASSED,	0.000000,	0.421000
60,	100,	1,	0.010000,	PASSED,	0.000000,	0.420000
60,	200,	1,	0.010000,	PASSED,	0.000000,	0.417000
60,	300,	1,	0.010000,	PASSED,	0.000000,	0.422000
60,	400,	1,	0.010000,	PASSED,	0.000000,	0.422000
60,	500,	1,	0.010000,	PASSED,	0.000000,	0.428000
60,	600,	1,	0.010000,	PASSED,	0.000000,	0.430000
60,	700,	1,	0.010000,	PASSED,	0.000000,	0.434000
60,	800,	1,	0.010000,	PASSED,	0.000000,	0.441000
60,	900,	1,	0.010000,	PASSED,	0.000000,	0.443000
60,	1000,	1,	0.010000,	PASSED,	0.000000,	0.453000
60,	2000,	1,	0.010000,	PASSED,	0.000000,	0.543000
60,	3000,	1,	0.010000,	PASSED,	0.000000,	0.726000
60,	4000,	1,	0.010000,	PASSED,	0.000000,	1.016000
60,	5000,	1,	0.010000,	PASSED,	0.000000,	1.408000
60,	6000,	1,	0.010000,	PASSED,	0.000000,	1.861000
60,	7000,	1,	0.010000,	PASSED,	0.000000,	2.379000
60,	8000,	1,	0.010000,	PASSED,	0.000000,	3.023000
60,	9000,	1,	0.010000,	PASSED,	0.000000,	3.704000
60,	10000,	1,	0.010000,	PASSED,	0.000000,	4.493000
