Num of Cores,	Size,	Arr Type,	Precision,	Pass/Fail,	Sequential Time (s),	Parallel Time (s)
100,	10,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	20,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	30,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	40,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	50,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	60,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	70,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	80,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	90,	1,	0.010000,	FAILED,	0.000000,	0.000000
100,	100,	1,	0.010000,	PASSED,	0.000000,	0.138000
100,	200,	1,	0.010000,	PASSED,	0.000000,	0.140000
100,	300,	1,	0.010000,	PASSED,	0.000000,	0.142000
100,	400,	1,	0.010000,	PASSED,	0.000000,	0.149000
100,	500,	1,	0.010000,	PASSED,	0.000000,	0.155000
100,	600,	1,	0.010000,	PASSED,	0.000000,	0.164000
100,	700,	1,	0.010000,	PASSED,	0.000000,	0.165000
100,	800,	1,	0.010000,	PASSED,	0.000000,	0.171000
100,	900,	1,	0.010000,	PASSED,	0.000000,	0.179000
100,	1000,	1,	0.010000,	PASSED,	0.000000,	0.189000
100,	2000,	1,	0.010000,	PASSED,	0.000000,	0.296000
100,	3000,	1,	0.010000,	PASSED,	0.000000,	0.480000
100,	4000,	1,	0.010000,	PASSED,	0.000000,	0.743000
100,	5000,	1,	0.010000,	PASSED,	0.000000,	1.127000
100,	6000,	1,	0.010000,	PASSED,	0.000000,	1.599000
100,	7000,	1,	0.010000,	PASSED,	0.000000,	2.166000
100,	8000,	1,	0.010000,	PASSED,	0.000000,	2.785000
100,	9000,	1,	0.010000,	PASSED,	0.000000,	3.523000
100,	10000,	1,	0.010000,	PASSED,	0.000000,	4.361000
